source,title,company,location,stipend,duration,mode,internship_type,branch_required,cgpa_required,gender,eligibility_raw,skills,deadline,applicants,apply_link
Unstop,"NGO: Summer Internship Program - Community, Branding, Marketing",InteractUp,N/A,Not disclosed,100 Days,Work From Home,Part Time,"Commerce, Management",Not mentioned,All,"Postgraduate Undergraduate Management Arts, Commerce, Sciences & Others",N/A,N/A,N/A,https://unstop.com/internships/ngo-summer-internship-program-community-branding-marketing-interactup-1674848
Unstop,Telecalling Internship,Shri Swami Samarth Industries LLP,N/A,Not disclosed,100 Days,Hybrid,Full Time,"Commerce, Management",Not mentioned,All,"Engineering Students Postgraduate Undergraduate Fresher Management Arts, Commerce, Sciences & Others Locations Mumbai Pune",N/A,N/A,N/A,https://unstop.com/internships/telecalling-internship-shri-swami-samarth-industries-llp-1675581
Unstop,Campus Ambassador,Vidya Setu Institute,N/A,Not disclosed,100 Days,Work From Home,Full Time,"Commerce, Management",Not mentioned,All,"Engineering Students Postgraduate Undergraduate Management Medical Law Arts, Commerce, Sciences & Others",N/A,N/A,N/A,https://unstop.com/internships/campus-ambassador-vidya-setu-institute-1675578
Unstop,Digital Marketing Internship,SyntraEdge Global,N/A,Not disclosed,6 months,On-site,Full Time,"Commerce, Management",Not mentioned,All,"Engineering Students Postgraduate Undergraduate Fresher Management Arts, Commerce, Sciences & Others",N/A,N/A,3,https://unstop.com/internships/digital-marketing-internship-syntraedge-global-1675549
Unstop,UI/UX Desinger Internship,SyntraEdge Global,N/A,Not disclosed,100 Days,On-site,Not mentioned,Not mentioned,Not mentioned,All,Engineering Students Postgraduate Undergraduate Fresher,N/A,N/A,7,https://unstop.com/internships/uiux-desinger-internship-syntraedge-global-1675550
Unstop,Unstop Pizza Internship,Unstop,N/A,",",100 Days,On-site,Not mentioned,Not mentioned,Not mentioned,All,Not mentioned,N/A,N/A,25380,https://unstop.com/internships/unstop-pizza-internship-unstop-1671531
Unstop,Social Media Marketing Internship,Jeetech Academy,N/A,Not disclosed,6 months,On-site,Part Time,"Commerce, Management",Not mentioned,All,"Engineering Students Postgraduate Undergraduate Fresher Management Arts, Commerce, Sciences & Others Locations Delhi",N/A,N/A,N/A,https://unstop.com/internships/social-media-marketing-internship-jeetech-academy-1675532
Unstop,Graphic Designer Internship,Creator Cove,N/A,Not disclosed,6 months,Hybrid,Full Time,"Commerce, Management",Not mentioned,All,"Engineering Students Postgraduate Undergraduate Fresher Management Arts, Commerce, Sciences & Others",N/A,N/A,6,https://unstop.com/internships/graphic-designer-internship-creator-cove-1675545
Unstop,Campus Recruitment / Campus Relations Internship,MyCaptain,N/A,Not disclosed,1 months,Work From Home,Part Time,"Commerce, Management",Not mentioned,All,"Postgraduate Undergraduate Management Arts, Commerce, Sciences & Others",N/A,N/A,18,https://unstop.com/internships/campus-recruitment-campus-relations-internship-mycaptain-1675518
Unstop,Cyber Security Internship,CyArt,N/A,Not disclosed,100 Days,Work From Home,Part Time,"Commerce, Management",Not mentioned,All,"Engineering Students Postgraduate Undergraduate Management Arts, Commerce, Sciences & Others",N/A,N/A,56,https://unstop.com/internships/cyber-security-internship-cyart-1671885
