source,title,company,location,stipend,duration,mode,internship_type,branch_required,cgpa_required,gender,eligibility_raw,skills,deadline,applicants,apply_link
Company Careers,Software Engineering Internship (SWE Intern),Google,Multiple Locations / Remote,Not disclosed,N/A,On-site,Full Time,"Computer Science, Information Technology",Not mentioned,All,Search for active openings on Google Careers,N/A,N/A,N/A,https://www.google.com/about/careers/applications/jobs/results?q=intern&employment_type=INTERN
Company Careers,STEP Internship (Student Training in Engineering Program),Google,Multiple Locations,Not disclosed,N/A,On-site,Full Time,"Computer Science, Information Technology",Not mentioned,All,For 1st and 2nd year undergrad CS students,N/A,N/A,N/A,https://buildyourfuture.withgoogle.com/programs/step
Company Careers,University Internship (Software Engineering),Microsoft,Multiple Locations / India,Not disclosed,N/A,On-site,Full Time,"Computer Science, Information Technology, Electronics",Not mentioned,All,Pre-final year STEM students eligible,N/A,N/A,N/A,https://careers.microsoft.com/v2/global/en/universityinternship
Company Careers,Explore Microsoft Internship,Microsoft,India / USA,Not disclosed,N/A,On-site,Full Time,"Computer Science, Information Technology",Not mentioned,All,For 1st and 2nd year students only,N/A,N/A,N/A,https://careers.microsoft.com/v2/global/en/exploremicrosoft
Company Careers,Apple Internship Program,Apple,Multiple Locations,Not disclosed,N/A,On-site,Full Time,"Computer Science, Electronics, Electrical, Mechanical",Not mentioned,All,Search 'intern' on Apple Jobs for active roles,N/A,N/A,N/A,https://www.apple.com/careers/us/students.html
Company Careers,Software Engineer Internship,Meta (Facebook),Multiple Locations,Not disclosed,N/A,On-site,Full Time,"Computer Science, Information Technology",Not mentioned,All,Filter by Internship team on Meta Careers,N/A,N/A,N/A,https://www.metacareers.com/jobs?q=intern&teams[0]=Internship%20-%20Engineering%2C%20Tech%20%26%20Design
Company Careers,Software Development Engineer Internship (SDE Intern),Amazon,Multiple Locations / India,Not disclosed,N/A,On-site,Full Time,"Computer Science, Information Technology",Not mentioned,All,Check Student Programs section on Amazon Jobs,N/A,N/A,N/A,https://www.amazon.jobs/en/job_categories/student-programs
Company Careers,Adobe Research Internship / Engineering Internship,Adobe,Noida / Bengaluru / USA,Not disclosed,N/A,On-site,Full Time,"Computer Science, Information Technology, Data Science",Not mentioned,All,Search intern on Adobe Careers,N/A,N/A,N/A,https://careers.adobe.com/us/en/search-results?keywords=intern
Company Careers,SheCodes by Adobe (Women in Tech),Adobe,India,Not disclosed,N/A,On-site,Full Time,"Computer Science, Information Technology",Not mentioned,Girls Only,Female-specific program. Check Adobe Careers for active cycle.,N/A,N/A,N/A,https://careers.adobe.com/us/en/search-results?keywords=shecodes
Company Careers,Summer Analyst Internship,Goldman Sachs,Bengaluru / Mumbai / Global,Not disclosed,N/A,On-site,Full Time,"Computer Science, Finance, Mathematics, Economics",Not mentioned,All,Look under Asia Pacific / India programs,N/A,N/A,N/A,https://www.goldmansachs.com/careers/students/programs/
Company Careers,Goldman Sachs Women's Possibilities Summit,Goldman Sachs,India,Not disclosed,N/A,On-site,Full Time,All,Not mentioned,Girls Only,Female-specific program. Check India student programs page.,N/A,N/A,N/A,https://www.goldmansachs.com/careers/students/programs/india/
Company Careers,Summer Analyst Program,Morgan Stanley,Mumbai / Bengaluru,Not disclosed,N/A,On-site,Full Time,"Computer Science, Finance, Mathematics, Economics",Not mentioned,All,Check Asia-Pacific / India under Students & Graduates,N/A,N/A,N/A,https://www.morganstanley.com/people-opportunities/students-graduates
Company Careers,Summer Analyst / Code for Good Internship,J.P. Morgan Chase,Mumbai / Bengaluru / Hyderabad,Not disclosed,N/A,On-site,Full Time,"Computer Science, Finance, Mathematics, Economics",Not mentioned,All,Code for Good is a 24-hour hackathon-style internship,N/A,N/A,N/A,https://careers.jpmorgan.com/global/en/students/programs
Company Careers,McKinsey Young Leaders Programme / Business Analyst Intern,McKinsey & Company,India (Multiple cities),Not disclosed,N/A,On-site,Full Time,All,Not mentioned,All,Check Students section for current India openings,N/A,N/A,N/A,https://www.mckinsey.com/careers/students
Company Careers,BCG Platinion / Summer Consulting Intern,BCG (Boston Consulting Group),India,Not disclosed,N/A,On-site,Full Time,All,Not mentioned,All,Check Students section for India internship openings,N/A,N/A,N/A,https://careers.bcg.com/students
