source,company,programme_name,programme_type,description,duration,mode,eligibility,branch_required,cgpa_required,gender,stipend_or_benefits,deadline,apply_link,how_to_apply
google,Google,Google Summer of Code (GSoC),Mentorship + Open Source,Paid mentorship programme where students work on open source projects with mentor guidance over 12 weeks.,12 weeks,Remote / Online,"18+ years, enrolled in post-secondary institution","Computer Science, Information Technology",Not mentioned,All,"USD 1,500–3,000 stipend",Check summerofcode.withgoogle.com,https://summerofcode.withgoogle.com/,Go to summerofcode.withgoogle.com → Click 'Get Started' → Register as a contributor → Browse organisations → Submit proposal.
google,Google,CS Research Mentorship Program (CSRMP),Research Mentorship,Connects students from historically marginalized groups with Google researchers for CS research mentorship.,6 months,Online / Virtual,UG/PG students in CS or related fields from underrepresented groups,Computer Science,Not mentioned,All,Stipend + Google research exposure,Check research.google/csrmp,https://research.google/outreach/csrmp/,Go to research.google/outreach/csrmp → Click 'Apply' during open application window → Fill the student application form.
google,Google,Google Developer Student Clubs (GDSC) Mentorship,Community Mentorship,"Campus-based mentorship through Google-supported student clubs; workshops, projects, and networking.",Academic year,Hybrid,All students at participating colleges,All,Not mentioned,All,"Certifications, Google resources",Check gdsc.community,https://gdsc.community.dev/,Go to gdsc.community.dev → Search for your college → Click 'Join Club' or contact your campus GDSC lead.
microsoft,Microsoft,Microsoft Mentorship / Aspire Program,Career Mentorship,Mentorship programme for new graduates and interns pairing them with senior Microsoft employees.,12 weeks (internship period),Hybrid,Pre-final year STEM students,"Computer Science, Information Technology, Electronics",Not mentioned,All,Part of internship compensation,Check careers.microsoft.com,https://careers.microsoft.com/v2/global/en/universityinternship,Go to careers.microsoft.com → Click 'Students' → Select 'University Internship' → Search open roles → Apply. Mentorship is embedded in the internship.
microsoft,Microsoft,Microsoft Research PhD Fellowship,Research Fellowship + Mentorship,Fellowship for PhD students with mentorship from Microsoft Research scientists.,1–2 years,Hybrid,"PhD students in CS, AI, or related fields","Computer Science, Data Science, Mathematics",Not mentioned,All,Fellowship funding + research stipend,Check microsoft.com/research,https://www.microsoft.com/en-us/research/academic-program/phd-fellowship/,Go to microsoft.com/research → Academic Programs → PhD Fellowship → Click Apply → Submit research proposal and CV.
amazon,Amazon,AWS AI & ML Scholars Mentorship,Learning + Mentorship,"Free AI/ML learning programme with mentorship from AWS experts. Aims to sponsor 100,000 learners.",Self-paced,Online / Virtual,"18+ years, no prior AI/ML experience required",All,Not mentioned,All,Free AWS certifications,"June 24, 2026",https://aws.amazon.com/about-aws/our-impact/scholars/,Go to aws.amazon.com/scholars → Click 'Apply Now' → Create AWS account → Fill application form → Enroll in AWS Skill Builder courses.
amazon,Amazon,Amazon Future Engineer Mentorship,Career Mentorship,"Amazon's student outreach programme providing mentorship, scholarships, and internship pipeline.",Academic year,Online / Virtual,High school and college students in CS,Computer Science,Not mentioned,All,Scholarships + internship pathway,Check amazonfutureengineer.com,https://www.amazonfutureengineer.com/,Go to amazonfutureengineer.com → Click 'Explore Programs' → Select scholarship or mentorship track → Apply through the form.
apple,Apple,Apple Next-Gen Innovators Mentorship,Technical Mentorship,One-on-one mentorship pairing engineering students with Apple engineers for 8 months.,8 months,Hybrid,Engineering students at selected universities,"Electronics, Computer Science, Mechanical",Not mentioned,All,"Industry exposure, career guidance",Check apple.com/careers,https://www.apple.com/careers/us/students.html,Go to apple.com/careers → Click 'Students' → Search 'mentorship' or 'intern' → Apply to relevant programmes. Next-Gen Innovators is invite-only via selected universities.
meta,Meta,Meta University (Mentorship for Underrepresented Students),Mentorship + Internship,Paid internship with embedded mentorship for first and second year underrepresented students in tech.,12 weeks,Hybrid,1st/2nd year underrepresented students in CS,Computer Science,Not mentioned,All,Competitive internship stipend,Check metacareers.com,https://www.metacareers.com/careerprograms/pathways/metauniversity,Go to metacareers.com/careerprograms/pathways/metauniversity → Click 'Apply' → Create Meta Careers account → Submit application with resume.
adobe,Adobe,Adobe Research Women-in-Technology Scholarship,Scholarship + Mentorship,Scholarship and mentorship programme for women pursuing degrees in CS or related fields.,1 year,Hybrid,Female students in CS or related fields,"Computer Science, Data Science",Not mentioned,Girls Only / Women,"USD 10,000 scholarship + Adobe mentorship",Check adobe.com/careers,https://research.adobe.com/scholarship/,Go to research.adobe.com/scholarship → Read eligibility → Click 'Apply' → Submit application with transcript and recommendation letter.
adobe,Adobe,SheCodes by Adobe Mentorship,Women in Tech Mentorship,Female-specific mentorship and coding programme supporting women in technology careers.,3–6 months,Online / Virtual,Female students in technical programs,"Computer Science, Information Technology",Not mentioned,Girls Only / Women,Adobe certification + career support,Check Adobe Careers for current cycle,https://careers.adobe.com/us/en/search-results?keywords=shecodes,Go to careers.adobe.com → Search 'SheCodes' → Click on the listing → Create Adobe Careers account → Apply with resume.
